variable,species,avg
748nm,TSUHET,-654.3373813333333
749nm,ACEGLA,-750.3234001666666
749nm,ACEMAC,-400.048135
749nm,ALNRUB,-442.3426448
749nm,POPTRI,-838.6843416666667
749nm,THUPLI,-570.1022562666667
749nm,TSUHET,-652.752701
750nm,ACEGLA,-746.413763
750nm,ACEMAC,-398.2392882962963
750nm,ALNRUB,-440.2631535666667
750nm,POPTRI,-834.2036410000001
750nm,THUPLI,-566.7951168666667
750nm,TSUHET,-649.198288
751nm,ACEGLA,-740.535449
751nm,ACEMAC,-394.87738340740736
751nm,ALNRUB,-436.76196003333337
751nm,POPTRI,-827.5301643333333
751nm,THUPLI,-561.8457723333333
751nm,TSUHET,-644.4034803333333
752nm,ACEGLA,-732.4728293333334
752nm,ACEMAC,-390.2041874074074
752nm,ALNRUB,-431.88788263333333
752nm,POPTRI,-818.5760596666667
752nm,THUPLI,-555.1453641333334
752nm,TSUHET,-637.712624
753nm,ACEGLA,-718.3477208333333
753nm,ACEMAC,-382.6705397037037
753nm,ALNRUB,-423.5906381666666
753nm,POPTRI,-803.5811000000001
753nm,THUPLI,-543.71983
753nm,TSUHET,-624.7776893333333
754nm,ACEGLA,-699.4371148333333
754nm,ACEMAC,-372.3720337037037
754nm,ALNRUB,-412.2108351333333
754nm,POPTRI,-781.857638
754nm,THUPLI,-528.8485204666666
754nm,TSUHET,-608.2488020000001
755nm,ACEGLA,-677.046986
755nm,ACEMAC,-360.13663862962966
755nm,ALNRUB,-398.68673943333334
755nm,POPTRI,-755.7192246666667
755nm,THUPLI,-511.4664105333334
755nm,TSUHET,-588.9335503333334
756nm,ACEGLA,-648.9255191666666
756nm,ACEMAC,-344.97923962962966
756nm,ALNRUB,-381.9853841
756nm,POPTRI,-724.0558906666666
756nm,THUPLI,-489.9283752
756nm,TSUHET,-564.3942183333334
757nm,ACEGLA,-620.6039723333333
757nm,ACEMAC,-329.64160385185187
757nm,ALNRUB,-365.1231921666667
757nm,POPTRI,-691.335123
757nm,THUPLI,-468.1336771333333
757nm,TSUHET,-539.5367100000001
758nm,ACEGLA,-592.8287221666666
758nm,ACEMAC,-314.56288903703705
758nm,ALNRUB,-348.5738983333333
758nm,POPTRI,-658.8088363333334
758nm,THUPLI,-446.73625126666667
758nm,TSUHET,-515.145416
759nm,ACEGLA,-568.687439
759nm,ACEMAC,-301.4583793333333
759nm,ALNRUB,-334.2422712333333
759nm,POPTRI,-630.4845349999999
759nm,THUPLI,-428.3089794
759nm,TSUHET,-494.2894563333333
760nm,ACEGLA,-548.9308565
760nm,ACEMAC,-290.70448555555555
760nm,ALNRUB,-322.2616865666667
760nm,POPTRI,-606.787421
760nm,THUPLI,-412.9039047333334
760nm,TSUHET,-476.80235533333337
761nm,ACEGLA,-532.8743541666666
761nm,ACEMAC,-281.97085055555556
761nm,ALNRUB,-312.4446872666667
761nm,POPTRI,-587.1295253333333
761nm,THUPLI,-400.21651326666665
761nm,TSUHET,-462.4158146666666
762nm,ACEGLA,-524.1620098333333
762nm,ACEMAC,-277.37055151851854
762nm,ALNRUB,-307.52558036666665
762nm,POPTRI,-575.940833
762nm,THUPLI,-393.48592733333334
762nm,TSUHET,-455.049316
763nm,ACEGLA,-521.8302601666667
763nm,ACEMAC,-276.21343055555553
763nm,ALNRUB,-306.30569453333334
763nm,POPTRI,-572.2554243333333
763nm,THUPLI,-391.61525539999997
763nm,TSUHET,-452.89179699999994
764nm,ACEGLA,-524.3656351666666
764nm,ACEMAC,-277.6616982962963
764nm,ALNRUB,-307.929986
764nm,POPTRI,-574.2272146666667
764nm,THUPLI,-393.3939004
764nm,TSUHET,-454.83597833333334
765nm,ACEGLA,-534.6797805
765nm,ACEMAC,-283.20829385185186
765nm,ALNRUB,-314.16974346666666
765nm,POPTRI,-585.034724
765nm,THUPLI,-400.824544
765nm,TSUHET,-463.73528533333325
766nm,ACEGLA,-550.7796453333333
766nm,ACEMAC,-292.1520281111111
766nm,ALNRUB,-324.16071316666665
766nm,POPTRI,-603.6953603333333
766nm,THUPLI,-413.275969
766nm,TSUHET,-478.3120573333333
767nm,ACEGLA,-570.8822021666666
767nm,ACEMAC,-303.2631701851852
767nm,ALNRUB,-336.55880256666666
767nm,POPTRI,-627.356217
767nm,THUPLI,-428.8420200666667
767nm,TSUHET,-496.42164333333335
768nm,ACEGLA,-596.3603105
768nm,ACEMAC,-316.8188689259259
768nm,ALNRUB,-351.70991296666665
768nm,POPTRI,-656.628934
768nm,THUPLI,-447.6758158
768nm,TSUHET,-518.2687306666667
769nm,ACEGLA,-620.9665028333333
769nm,ACEMAC,-330.2722943703704
769nm,ALNRUB,-366.5067453666667
769nm,POPTRI,-685.68376
769nm,THUPLI,-466.29272506666666
769nm,TSUHET,-539.9761936666667
770nm,ACEGLA,-644.5041458333333
770nm,ACEMAC,-343.1704228888889
770nm,ALNRUB,-380.66458493333334
770nm,POPTRI,-713.8215033333332
770nm,THUPLI,-484.177312
770nm,TSUHET,-560.8406783333332
771nm,ACEGLA,-665.789037
771nm,ACEMAC,-354.4879605925926
771nm,ALNRUB,-393.28010156666664
771nm,POPTRI,-739.4063176666666
771nm,THUPLI,-500.07339879999995
771nm,TSUHET,-579.2876329999999
772nm,ACEGLA,-682.6884685
772nm,ACEMAC,-363.5209087037037
772nm,ALNRUB,-403.39966653333335
772nm,POPTRI,-759.866762
772nm,THUPLI,-512.7880143333333
772nm,TSUHET,-593.7776316666666
773nm,ACEGLA,-696.5181631666666
773nm,ACEMAC,-370.9380756666667
773nm,ALNRUB,-411.69238863333334
773nm,POPTRI,-776.307587
773nm,THUPLI,-523.1768928
773nm,TSUHET,-605.6270450000001
774nm,ACEGLA,-706.2184833333333
774nm,ACEMAC,-376.1653155925926
774nm,ALNRUB,-417.4492360333333
774nm,POPTRI,-786.914815
774nm,THUPLI,-530.339823
774nm,TSUHET,-614.0517753333334
775nm,ACEGLA,-711.9332786666668
775nm,ACEMAC,-379.5207085185185
775nm,ALNRUB,-421.1479635666667
775nm,POPTRI,-794.2818883333333
775nm,THUPLI,-534.6086343333334
775nm,TSUHET,-619.0484976666667
776nm,ACEGLA,-715.7887523333334
776nm,ACEMAC,-381.89356333333336
776nm,ALNRUB,-423.76375406666665
776nm,POPTRI,-799.4819116666666
776nm,THUPLI,-537.5420499333334
776nm,TSUHET,-622.5359723333333
777nm,ACEGLA,-717.824544
777nm,ACEMAC,-383.2232539259259
777nm,ALNRUB,-425.22814783333337
777nm,POPTRI,-802.0715793333334
777nm,THUPLI,-539.1797478666666
777nm,TSUHET,-624.6138276666667
778nm,ACEGLA,-718.9719725
778nm,ACEMAC,-383.31232407407407
778nm,ALNRUB,-425.513013
778nm,POPTRI,-803.1430833333334
778nm,THUPLI,-539.4419546666667
778nm,TSUHET,-624.9235299999999
779nm,ACEGLA,-719.1405841666667
779nm,ACEMAC,-383.17124822222223
779nm,ALNRUB,-425.4027785
779nm,POPTRI,-803.2333083333333
779nm,THUPLI,-539.2980143333333
779nm,TSUHET,-624.9667386666666
780nm,ACEGLA,-718.2098593333334
780nm,ACEMAC,-382.90635044444446
780nm,ALNRUB,-424.95587143333336
780nm,POPTRI,-802.3036626666667
780nm,THUPLI,-538.8293191333333
780nm,TSUHET,-624.9096886666667
